                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.42463,                 0.2137,                0.86284,                0.96254,                0.98651,                0.99119,                0.92168,                0.44146,                0.19659,                0.85007,               0.001189,               0.001189,               0.001189
                     92,                 0.4193,                0.21009,                0.86099,                0.96351,                0.98684,                0.99106,                0.92176,                0.44097,                0.19661,                0.84975,                0.00109,                0.00109,                0.00109
                     93,                0.41423,                0.20785,                0.85891,                0.96379,                0.98563,                0.99121,                0.92271,                0.43997,                0.19637,                 0.8487,               0.000991,               0.000991,               0.000991
                     94,                0.41083,                0.20443,                0.85752,                0.96199,                0.98571,                0.99116,                0.92272,                0.43901,                 0.1958,                0.84868,               0.000892,               0.000892,               0.000892
                     95,                0.40742,                0.20221,                0.85715,                0.96213,                0.98678,                0.99104,                0.92255,                0.43914,                0.19522,                0.84905,               0.000793,               0.000793,               0.000793
                     96,                0.40438,                0.20038,                0.85539,                0.96229,                0.98798,                0.99108,                0.92394,                0.43882,                0.19508,                0.84907,               0.000694,               0.000694,               0.000694
                     97,                0.40375,                 0.1996,                 0.8553,                0.96414,                 0.9847,                0.99089,                0.92362,                0.43849,                0.19514,                0.84893,               0.000595,               0.000595,               0.000595
                     98,                 0.3974,                0.19805,                0.85186,                0.96394,                0.98476,                0.99101,                0.92307,                 0.4379,                0.19472,                0.84897,               0.000496,               0.000496,               0.000496
                     99,                0.39437,                0.19567,                0.85273,                0.96426,                0.98399,                0.99105,                0.92352,                0.43713,                0.19502,                0.84886,               0.000397,               0.000397,               0.000397
                    100,                 0.3929,                0.19512,                0.84793,                0.96384,                0.98501,                0.99089,                0.92408,                  0.437,                0.19518,                0.84885,               0.000298,               0.000298,               0.000298
